longitude,latitude,housing_median_age,median_income,median_house_value,roomsPerHousehold,populationPerHousehold,roomsPerPerson,OP_LESSERTHAN_1H_OCEAN,OP_INLAND,OP_NEAR_BAY,OP_NEAR_OCEAN
-1.326813355381494,1.0091137395640009,1.7380034298838514,3.2031,281500.0,5,2,2,0,0,1,0
-1.331848849571786,1.0091137395640009,1.7380034298838514,2.775,152500.0,5,2,2,0,0,1,0
-1.326813355381494,1.0044527432813,1.5726567506190938,1.9911,158700.0,5,2,2,0,0,1,0
-1.331848849571786,1.0091137395640009,0.9112700335600638,1.7135,159800.0,4,2,1,0,0,1,0
-1.331848849571786,1.0044527432813,1.7380034298838514,2.1806,99700.0,5,2,1,0,0,1,0
-1.331848849571786,1.0044527432813,1.7380034298838514,2.6,132600.0,5,2,2,0,0,1,0
-1.3368843437620854,1.0091137395640009,1.7380034298838514,1.808,105500.0,4,2,1,0,0,1,0
-1.3368843437620854,1.0044527432813,1.489983410986715,1.9274,122300.0,5,2,2,0,0,1,0
-1.331848849571786,1.0044527432813,1.4073100713543363,1.7969,110400.0,5,3,1,0,0,1,0
-1.331848849571786,0.9997917469985959,1.489983410986715,1.375,104900.0,5,2,2,0,0,1,0
-1.331848849571786,0.9997917469985959,1.4073100713543363,1.0972,104500.0,4,2,1,0,0,1,0
-1.3368843437620854,0.9997917469985959,1.7380034298838514,1.4103,103900.0,3,2,1,0,0,1,0
-1.326813355381494,0.9997917469985959,1.7380034298838514,3.48,191400.0,4,2,2,0,0,1,0
-1.326813355381494,0.9997917469985959,1.7380034298838514,2.0978,155400.0,4,2,1,0,0,1,0
-1.326813355381494,0.9997917469985959,1.7380034298838514,2.6768,182300.0,4,1,2,0,0,1,0
-1.331848849571786,0.995130750715895,0.7459233542953062,1.775,112500.0,2,1,1,0,0,1,0
-1.331848849571786,0.995130750715895,-0.8248700987198901,0.9218,171900.0,2,1,1,0,0,1,0
-1.331848849571786,0.995130750715895,0.9939433731924424,1.5045,93800.0,4,2,1,0,0,1,0
-1.331848849571786,0.995130750715895,1.7380034298838514,1.2475,104200.0,4,2,1,0,0,1,0
-1.3368843437620854,0.995130750715895,1.7380034298838514,0.8172,85300.0,6,2,2,0,0,1,0
-1.3368843437620854,0.995130750715895,1.7380034298838514,1.2171,80300.0,4,3,1,0,0,1,0
-1.3469553321426768,0.9904697544331942,1.4073100713543363,0.8056,84400.0,4,2,1,0,0,1,0
-1.3368843437620854,0.9904697544331942,-1.1555634572494051,0.9241,177500.0,2,1,1,0,0,1,0
-1.3419198379523847,0.9904697544331942,-0.6595234194551327,0.8026,112500.0,5,3,1,0,0,1,0
-1.331848849571786,0.9904697544331942,0.7459233542953062,0.977,118800.0,2,1,1,0,0,1,0
-1.331848849571786,0.9904697544331942,-1.7342768346760564,0.76,162500.0,2,1,1,0,0,1,0
-1.331848849571786,0.98580875815049,-1.238236796881784,2.0938,162500.0,2,2,1,0,0,1,0
-1.331848849571786,0.9811477618677892,-0.3288300609256176,2.6354,187500.0,3,2,1,0,0,1,0
-1.3217778611911946,0.9904697544331942,1.7380034298838514,3.1691,259400.0,4,1,2,0,0,1,0
-1.3217778611911946,0.9997917469985959,0.3325566561334124,3.4722,243100.0,3,1,2,0,0,1,0
-1.3117068728106032,1.0044527432813,1.5726567506190938,5.8596,327600.0,6,2,2,0,0,1,0
-1.3117068728106032,1.0044527432813,1.3246367317219574,5.2868,347600.0,6,2,2,0,0,1,0
-1.3167423670008953,0.9997917469985959,0.828596693927685,5.956,366100.0,6,2,3,0,0,1,0
-1.3117068728106032,1.0091137395640009,1.7380034298838514,6.3434,373600.0,6,2,2,0,0,1,0
-1.3167423670008953,1.0091137395640009,1.7380034298838514,7.2354,391100.0,7,2,2,0,0,1,0
-1.2966003902397125,1.0044527432813,-0.08081004202848137,6.0666,311500.0,6,2,2,0,0,1,0
-1.2966003902397125,1.0044527432813,0.3325566561334124,7.4882,319300.0,6,2,2,0,0,1,0
-1.3016358844300047,0.995130750715895,1.7380034298838514,7.0549,331400.0,6,2,2,0,0,1,0
-1.2966003902397125,0.9904697544331942,1.1592900524572,6.7851,323500.0,6,2,2,0,0,1,0
-1.306671378620304,0.9904697544331942,1.7380034298838514,6.5217,273700.0,6,2,2,0,0,1,0
-1.306671378620304,0.98580875815049,1.7380034298838514,3.2632,227700.0,4,2,1,0,0,1,0
-1.306671378620304,0.98580875815049,1.7380034298838514,3.0298,199600.0,5,2,2,0,0,1,0
-1.306671378620304,0.9904697544331942,1.7380034298838514,4.072,270100.0,5,2,2,0,0,1,0
-1.306671378620304,0.9904697544331942,1.7380034298838514,8.1564,390100.0,7,2,2,0,0,1,0
-1.3117068728106032,0.9904697544331942,1.7380034298838514,7.508,348700.0,7,2,3,0,0,1,0
-1.3217778611911946,0.9811477618677892,1.7380034298838514,2.181,138800.0,3,2,1,0,0,1,0
-1.3167423670008953,0.98580875815049,1.7380034298838514,2.1563,128600.0,4,3,1,0,0,1,0
-1.3167423670008953,0.98580875815049,1.7380034298838514,2.1348,140600.0,4,3,1,0,0,1,0
-1.3167423670008953,0.98580875815049,1.7380034298838514,2.957,122800.0,4,3,1,0,0,1,0
-1.3117068728106032,0.98580875815049,1.6553300902514725,1.9028,127900.0,4,2,1,0,0,1,0
-1.3117068728106032,0.9811477618677892,1.7380034298838514,2.9357,107900.0,4,4,1,0,0,1,0
-1.3167423670008953,0.9811477618677892,0.6632500146629274,2.1638,105500.0,3,3,1,0,0,1,0
-1.3167423670008953,0.9811477618677892,1.3246367317219574,2.125,95500.0,4,4,1,0,0,1,0
-1.3167423670008953,0.9811477618677892,0.9939433731924424,2.2542,112200.0,4,3,1,0,0,1,0
-1.3117068728106032,0.9811477618677892,1.4073100713543363,2.0375,122500.0,4,4,1,0,0,1,0
-1.306671378620304,0.9811477618677892,1.489983410986715,2.5,136700.0,4,2,1,0,0,1,0
-1.2966003902397125,0.9811477618677892,-0.16348338166086013,2.8321,150000.0,4,2,1,0,0,1,0
-1.3016358844300047,0.9811477618677892,0.3325566561334124,2.875,143800.0,4,2,1,0,0,1,0
-1.3016358844300047,0.98580875815049,0.6632500146629274,3.0757,151000.0,4,2,1,0,0,1,0
-1.2966003902397125,0.98580875815049,0.828596693927685,5.1184,239600.0,6,2,2,0,0,1,0
-1.2915648960494133,0.98580875815049,1.2419633920895787,4.2727,246900.0,5,2,2,0,0,1,0
-1.2966003902397125,0.98580875815049,1.2419633920895787,3.8487,203300.0,5,2,1,0,0,1,0
-1.2915648960494133,0.9811477618677892,1.1592900524572,4.6563,231800.0,5,2,2,0,0,1,0
-1.2966003902397125,0.9811477618677892,0.3325566561334124,2.3036,126000.0,4,2,1,0,0,1,0
-1.2966003902397125,0.9811477618677892,1.0766167128248212,2.619,134700.0,3,2,1,0,0,1,0
-1.3016358844300047,0.9764867655850883,0.9939433731924424,1.7188,126800.0,4,3,1,0,0,1,0
-1.306671378620304,0.9764867655850883,1.6553300902514725,2.489,119100.0,4,3,1,0,0,1,0
-1.3016358844300047,0.9718257693023875,1.2419633920895787,2.3309,98700.0,3,3,1,0,0,1,0
-1.3016358844300047,0.9718257693023875,0.9939433731924424,2.2604,100000.0,3,3,1,0,0,1,0
-1.2966003902397125,0.9718257693023875,0.828596693927685,2.0562,102000.0,4,3,1,0,0,1,0
-1.2966003902397125,0.9764867655850883,1.7380034298838514,3.5398,158400.0,5,2,1,0,0,1,0
-1.2966003902397125,0.9764867655850883,0.6632500146629274,3.1167,121600.0,4,2,1,0,0,1,0
-1.2966003902397125,0.9764867655850883,1.5726567506190938,2.5401,129100.0,4,2,1,0,0,1,0
-1.3016358844300047,0.9764867655850883,1.0766167128248212,2.3125,102800.0,4,3,1,0,0,1,0
-1.2915648960494133,0.9718257693023875,1.7380034298838514,3.3715,143900.0,5,2,1,0,0,1,0
-1.2915648960494133,0.9718257693023875,1.7380034298838514,3.5114,151200.0,5,2,2,0,0,1,0
-1.2915648960494133,0.9764867655850883,1.7380034298838514,4.3125,164400.0,6,2,2,0,0,1,0
-1.2915648960494133,0.9764867655850883,1.7380034298838514,3.22,156500.0,5,2,2,0,0,1,0
-1.2966003902397125,0.9764867655850883,1.1592900524572,4.5893,163500.0,5,2,2,0,0,1,0
-1.2865294018591211,0.9811477618677892,1.2419633920895787,3.9712,208100.0,6,2,2,0,0,1,0
-1.2865294018591211,0.98580875815049,-0.6595234194551327,6.7527,285800.0,7,2,2,0,0,1,0
