longitude,latitude,housing_median_age,median_income,median_house_value,roomsPerHousehold,populationPerHousehold,roomsPerPerson,OP_LESSERTHAN_1H_OCEAN,OP_INLAND,OP_NEAR_BAY,OP_NEAR_OCEAN
-122.26,37.85,52,3.2031,281500.0,5,2,2,0,0,1,0
-122.27,37.85,52,2.775,152500.0,5,2,2,0,0,1,0
-122.26,37.84,50,1.9911,158700.0,5,2,2,0,0,1,0
-122.27,37.85,42,1.7135,159800.0,4,2,1,0,0,1,0
-122.27,37.84,52,2.1806,99700.0,5,2,1,0,0,1,0
-122.27,37.84,52,2.6,132600.0,5,2,2,0,0,1,0
-122.28,37.85,52,1.808,105500.0,4,2,1,0,0,1,0
-122.28,37.84,49,1.9274,122300.0,5,2,2,0,0,1,0
-122.27,37.84,48,1.7969,110400.0,5,3,1,0,0,1,0
-122.27,37.83,49,1.375,104900.0,5,2,2,0,0,1,0
-122.27,37.83,48,1.0972,104500.0,4,2,1,0,0,1,0
-122.28,37.83,52,1.4103,103900.0,3,2,1,0,0,1,0
-122.26,37.83,52,3.48,191400.0,4,2,2,0,0,1,0
-122.26,37.83,52,2.0978,155400.0,4,2,1,0,0,1,0
-122.26,37.83,52,2.6768,182300.0,4,1,2,0,0,1,0
-122.27,37.82,40,1.775,112500.0,2,1,1,0,0,1,0
-122.27,37.82,21,0.9218,171900.0,2,1,1,0,0,1,0
-122.27,37.82,43,1.5045,93800.0,4,2,1,0,0,1,0
-122.27,37.82,52,1.2475,104200.0,4,2,1,0,0,1,0
-122.28,37.82,52,0.8172,85300.0,6,2,2,0,0,1,0
-122.28,37.82,52,1.2171,80300.0,4,3,1,0,0,1,0
-122.3,37.81,48,0.8056,84400.0,4,2,1,0,0,1,0
-122.28,37.81,17,0.9241,177500.0,2,1,1,0,0,1,0
-122.29,37.81,23,0.8026,112500.0,5,3,1,0,0,1,0
-122.27,37.81,40,0.977,118800.0,2,1,1,0,0,1,0
-122.27,37.81,10,0.76,162500.0,2,1,1,0,0,1,0
-122.27,37.8,16,2.0938,162500.0,2,2,1,0,0,1,0
-122.27,37.79,27,2.6354,187500.0,3,2,1,0,0,1,0
-122.25,37.81,52,3.1691,259400.0,4,1,2,0,0,1,0
-122.25,37.83,35,3.4722,243100.0,3,1,2,0,0,1,0
-122.23,37.84,50,5.8596,327600.0,6,2,2,0,0,1,0
-122.23,37.84,47,5.2868,347600.0,6,2,2,0,0,1,0
-122.24,37.83,41,5.956,366100.0,6,2,3,0,0,1,0
-122.23,37.85,52,6.3434,373600.0,6,2,2,0,0,1,0
-122.24,37.85,52,7.2354,391100.0,7,2,2,0,0,1,0
-122.2,37.84,30,6.0666,311500.0,6,2,2,0,0,1,0
-122.2,37.84,35,7.4882,319300.0,6,2,2,0,0,1,0
-122.21,37.82,52,7.0549,331400.0,6,2,2,0,0,1,0
-122.2,37.81,45,6.7851,323500.0,6,2,2,0,0,1,0
-122.22,37.81,52,6.5217,273700.0,6,2,2,0,0,1,0
-122.22,37.8,52,3.2632,227700.0,4,2,1,0,0,1,0
-122.22,37.8,52,3.0298,199600.0,5,2,2,0,0,1,0
-122.22,37.81,52,4.072,270100.0,5,2,2,0,0,1,0
-122.22,37.81,52,8.1564,390100.0,7,2,2,0,0,1,0
-122.23,37.81,52,7.508,348700.0,7,2,3,0,0,1,0
-122.25,37.79,52,2.181,138800.0,3,2,1,0,0,1,0
-122.24,37.8,52,2.1563,128600.0,4,3,1,0,0,1,0
-122.24,37.8,52,2.1348,140600.0,4,3,1,0,0,1,0
-122.24,37.8,52,2.957,122800.0,4,3,1,0,0,1,0
-122.23,37.8,51,1.9028,127900.0,4,2,1,0,0,1,0
-122.23,37.79,52,2.9357,107900.0,4,4,1,0,0,1,0
-122.24,37.79,39,2.1638,105500.0,3,3,1,0,0,1,0
-122.24,37.79,47,2.125,95500.0,4,4,1,0,0,1,0
-122.24,37.79,43,2.2542,112200.0,4,3,1,0,0,1,0
-122.23,37.79,48,2.0375,122500.0,4,4,1,0,0,1,0
-122.22,37.79,49,2.5,136700.0,4,2,1,0,0,1,0
-122.2,37.79,29,2.8321,150000.0,4,2,1,0,0,1,0
-122.21,37.79,35,2.875,143800.0,4,2,1,0,0,1,0
-122.21,37.8,39,3.0757,151000.0,4,2,1,0,0,1,0
-122.2,37.8,41,5.1184,239600.0,6,2,2,0,0,1,0
-122.19,37.8,46,4.2727,246900.0,5,2,2,0,0,1,0
-122.2,37.8,46,3.8487,203300.0,5,2,1,0,0,1,0
-122.19,37.79,45,4.6563,231800.0,5,2,2,0,0,1,0
-122.2,37.79,35,2.3036,126000.0,4,2,1,0,0,1,0
-122.2,37.79,44,2.619,134700.0,3,2,1,0,0,1,0
-122.21,37.78,43,1.7188,126800.0,4,3,1,0,0,1,0
-122.22,37.78,51,2.489,119100.0,4,3,1,0,0,1,0
-122.21,37.77,46,2.3309,98700.0,3,3,1,0,0,1,0
-122.21,37.77,43,2.2604,100000.0,3,3,1,0,0,1,0
-122.2,37.77,41,2.0562,102000.0,4,3,1,0,0,1,0
-122.2,37.78,52,3.5398,158400.0,5,2,1,0,0,1,0
-122.2,37.78,39,3.1167,121600.0,4,2,1,0,0,1,0
-122.2,37.78,50,2.5401,129100.0,4,2,1,0,0,1,0
-122.21,37.78,44,2.3125,102800.0,4,3,1,0,0,1,0
-122.19,37.77,52,3.3715,143900.0,5,2,1,0,0,1,0
-122.19,37.77,52,3.5114,151200.0,5,2,2,0,0,1,0
-122.19,37.78,52,4.3125,164400.0,6,2,2,0,0,1,0
-122.19,37.78,52,3.22,156500.0,5,2,2,0,0,1,0
-122.2,37.78,45,4.5893,163500.0,5,2,2,0,0,1,0
-122.18,37.79,46,3.9712,208100.0,6,2,2,0,0,1,0
-122.18,37.8,23,6.7527,285800.0,7,2,2,0,0,1,0
-122.18,37.78,43,3.4205,136700.0,4,2,1,0,0,1,0
-122.16,37.77,45,3.5739,176000.0,6,2,2,0,0,1,0
-122.16,37.77,39,3.0958,145800.0,5,2,1,0,0,1,0
-122.17,37.77,39,3.3958,141900.0,5,2,1,0,0,1,0
-122.17,37.76,41,1.9356,90600.0,4,3,1,0,0,1,0
-122.17,37.76,47,2.1842,107900.0,5,2,2,0,0,1,0
-122.18,37.76,37,2.2917,107000.0,4,2,1,0,0,1,0
-122.17,37.76,38,2.4333,98200.0,4,2,1,0,0,1,0
-122.18,37.76,49,1.8407,96700.0,5,2,1,0,0,1,0
-122.18,37.76,43,1.8913,91200.0,5,3,1,0,0,1,0
